year,baseline,State,MN,combined,MN1,combined1,population,urbanPop
1,1993.756704,Uttar Pradesh,2123.35089,3185.026335,4117.107594,5178.783038,199812341,44498208
2,2058.83332,Uttar Pradesh,4451.759138,6677.638707,6510.592458,8736.472027,199812341,44498208
3,2124.900346,Uttar Pradesh,6857.632934,10286.4494,8982.53328,12411.34975,199812341,44498208
4,2191.957781,Uttar Pradesh,7074.045566,10611.06835,9266.003347,12803.02613,199812341,44498208
5,2260.005626,Uttar Pradesh,7293.654519,10940.48178,9553.660145,13200.4874,199812341,44498208
6,2325.879534,Uttar Pradesh,7506.247589,11259.37138,9832.127123,13585.25092,199812341,44498208
7,2392.669601,Uttar Pradesh,7721.79735,11582.69603,10114.46695,13975.36563,199812341,44498208
8,2460.375827,Uttar Pradesh,7940.303804,11910.45571,10400.67963,14370.83153,199812341,44498208
9,2528.99821,Uttar Pradesh,8161.76695,12242.65043,10690.76516,14771.64864,199812341,44498208
10,2598.536751,Uttar Pradesh,8386.186789,12579.28018,10984.72354,15177.81693,199812341,44498208
11,2668.991451,Uttar Pradesh,8613.56332,12920.34498,11282.55477,15589.33643,199812341,44498208
12,2740.362309,Uttar Pradesh,8843.896543,13265.84481,11584.25885,16006.20712,199812341,44498208
13,2812.649325,Uttar Pradesh,9077.186459,13615.77969,11889.83578,16428.42901,199812341,44498208
14,2885.8525,Uttar Pradesh,9313.433067,13970.1496,12199.28557,16856.0021,199812341,44498208
1,1657.757227,Maharashtra,1765.511447,2648.26717,3423.268674,4306.024397,112374333,50815673
2,1688.435331,Maharashtra,3650.857667,5476.286501,5339.292998,7164.721832,112374333,50815673
3,1719.36831,Maharashtra,5548.870454,8323.305681,7268.238764,10042.67399,112374333,50815673
4,1750.556164,Maharashtra,5649.522166,8474.283249,7400.078331,10224.83941,112374333,50815673
5,1781.998894,Maharashtra,5750.996431,8626.494646,7532.995325,10408.49354,112374333,50815673
6,1812.054554,Maharashtra,5847.994243,8771.991365,7660.048797,10584.04592,112374333,50815673
7,1842.344785,Maharashtra,5945.74908,8918.62362,7788.093865,10760.96841,112374333,50815673
8,1872.869588,Maharashtra,6044.260942,9066.391413,7917.130529,10939.261,112374333,50815673
9,1903.628961,Maharashtra,6143.529828,9215.294743,8047.158789,11118.9237,112374333,50815673
10,1934.622905,Maharashtra,6243.55574,9365.33361,8178.178645,11299.95652,112374333,50815673
11,1965.851421,Maharashtra,6344.338676,9516.508014,8310.190097,11482.35943,112374333,50815673
